ticket_id,body,queue,type,priority,asp_billing,asp_account,asp_performance,asp_security,asp_bug,asp_feature,asp_network,asp_hardware,asp_software
23600,"Hello Customer Support, I recently updated my Dell XPS 13 9310 and am now experiencing an intermittent screen flicker severely affecting usability. This issue started immediately after the update. I'm unsure if it's due to hardware or software but need assistance ASAP. Kindly provide guidance on troubleshooting or initiate a repair if necessary. Thank you, <name> <tel_num> <acc_num>",Technical Support,Incident,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,negative,negative
14294,"The analytics dashboard is currently showing incorrect investment data, which is negatively impacting our decision-making process. The problem might be related to a recent software update. We have tried restoring previous versions and checked our data integrations, but the issue still persists. Could you please help us resolve this as soon as possible? We need accurate data to make informed decisions.",Product Support,Incident,high,not_present,not_present,not_present,not_present,negative,not_present,not_present,not_present,negative
14277,"The digital ad campaign has not performed optimally, resulting in reduced engagement and brand visibility. There might be inaccuracies in the targeting. We have modified the audience settings and boosted posts, but the results are still not satisfactory. We need your assistance to improve the campaign's performance and increase brand visibility.",General Inquiry,Problem,high,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,not_present
2426,"The digital marketing platform experienced an unexpected failure, which disrupted our brand strategies. Potential reasons for this include server overload or software incompatibility. Restarting the system temporarily resolved the problem.",IT Support,Incident,high,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative
13073,"A security breach has compromised access to medical data across multiple systems within the hospital IT network. The incident may have occurred due to outdated security protocols. The affected devices have been temporarily disconnected, and updated VPN configurations have been implemented to mitigate the risk. The team is working diligently to rectify the situation and ensure the security of our systems.",Technical Support,Incident,medium,not_present,not_present,not_present,negative,not_present,not_present,negative,negative,not_present
24428,"Dear Customer Support Team, I am writing to inquire about optimizing our AWS cloud usage costs and making adjustments to enhance the balance between performance and cost efficiency. We’ve been using the Amazon AWS Management Service and are interested in your recommendations for best practices. Could you provide insights or strategies that are available to help streamline our costs without compromising the performance we require? Looking forward to your expert advice on achieving optimal results. Please let us know if there’s any further information you need from our side. Thank you, <name>",Technical Support,Problem,low,not_present,not_present,not_present,not_present,not_present,neutral,not_present,not_present,not_present
5319,"Drafting a request to revise security protocols concerning data access permissions for healthcare providers within hospital systems. The goal is to maintain the confidentiality, integrity, and availability of sensitive patient data. We would be grateful if you could review this matter and implement the required adjustments at your earliest convenience. Please inform us if any further information is needed to assist with the process.",Returns and Exchanges,Change,low,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present
2956,"Our marketing agency faced several hardware and software failures, which affected our digital campaigns. The possible root cause was compatibility issues. To address this, we rebooted the devices and upgraded the software versions, successfully resolving the problem. Our team is now working to prevent such conflicts in the future to ensure the seamless operation of our digital campaigns.",Technical Support,Incident,high,not_present,not_present,not_present,not_present,not_present,not_present,not_present,negative,negative
3023,"Currently facing sporadic access difficulties with the SaaS platform, likely due to server overload during peak periods. Despite efforts such as server restarts and monitoring resource consumption, the issue remains unresolved. Our team has been unable to address the problem effectively. We kindly seek your assistance in investigating and resolving this matter, as it significantly affects operations and user experience. Could you please advise on the next steps and suggest solutions to prevent future occurrences?",Technical Support,Incident,medium,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,negative
17058,"Last night, the protected portal malfunctioned. Could be due to a software defect or recent update. We've reinitiated the servers and verified the firewall configurations.",Service Outages and Maintenance,Incident,medium,not_present,not_present,not_present,not_present,negative,not_present,not_present,negative,negative
