ticket_id,body,queue,type,priority,aspect_tags,asp_billing,asp_account,asp_performance,asp_security,asp_bug,asp_feature,asp_network,asp_hardware,asp_software,label_source,notes
738,Can you offer guidance on integrating the SaaS platform with Microsoft OneNote and WhatsApp Desktop?,Customer Service,Request,low,feature,not_present,not_present,not_present,not_present,not_present,neutral,not_present,not_present,neutral,llm-qwen3-4b-4bit,
739,"The firm's data analytics system is currently malfunctioning, which is disrupting the investment optimization processes. Potential causes might include software conflicts or outdated security measures. Attempts to troubleshoot have involved restarting affected systems and updating security software, but the issues still persist. The team has also tried to identify potential data breaches or cyber threats that could be contributing to the malfunction. Despite these efforts, the system remains unstable, which is hindering our ability to make informed investments.",IT Support,Problem,medium,account|bug|performance|security,not_present,not_present,negative,negative,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
756,"The systems of the healthcare provider faced unauthorized access attempts, jeopardizing the confidentiality of medical data. The problem appears to stem from outdated firewall configurations. Despite applying the latest security updates and reviewing access logs, the intrusion attempts continue. Assistance is needed to determine the underlying cause and to implement measures to prevent similar incidents in the future.",Technical Support,Incident,high,account|network|performance|security|software,not_present,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
890,"Requesting an update on optimizing a scalable SaaS platform. The objective is to enhance integration efficiency across various software and hardware products, facilitating smooth interactions and improving the overall user experience. Your prompt attention to this matter and a proposed solution at the earliest convenience would be highly appreciated. Please inform us if any additional details are needed. I look forward to your response soon.",Customer Service,Change,high,feature|hardware|performance|software,not_present,not_present,neutral,not_present,not_present,neutral,not_present,neutral,neutral,llm-qwen3-4b-4bit,
902,"Customer Support has expressed concerns regarding the digital strategies employed by the marketing agency. Despite earlier initiatives, the tactics utilized have not significantly contributed to the growth of our brand. The current strategies appear ineffective, and we would like to request a review of the marketing plan to pinpoint areas for enhancement. The lack of growth in specific products is impacting their performance. We would appreciate it if you could examine this matter and provide a comprehensive analysis of the marketing strategies employed. Thank you.",Customer Service,Problem,medium,feature,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
959,"Customer Support: We are informing you that our SaaS platform experienced an unforeseen outage, probably due to server overload caused by a configuration mistake. Our team responded promptly by restarting servers, increasing resource allocation, and closely monitoring the situation to resolve the problem swiftly. These actions helped stabilize the platform, and diagnostics are ongoing to prevent similar incidents in the future. We apologize for any inconvenience caused and appreciate your understanding as we work to enhance service reliability.",Technical Support,Incident,high,account|performance,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
993,"Customer support reports multiple failed integrations (Babbel, Memrise, Perl 5.32), resulting in system slowdown. The problem might be linked to CPU cooler overheating on Linux. After restarting services and updating drivers, the issue remains. We would appreciate your help in resolving this matter. Please inform us of any additional steps to troubleshoot and fix the problem. Thank you for your support.",Technical Support,Incident,high,hardware|performance,not_present,not_present,negative,not_present,not_present,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
1047,"The billing system is encountering issues in processing payments accurately, possibly due to recent application updates. After attempting to restart devices and verify configurations, the problem continues to occur on various platforms. I would greatly appreciate it if you could look into this matter urgently and provide a solution at the earliest possible time.",Billing and Payments,Incident,medium,billing|bug|hardware|software,negative,not_present,not_present,not_present,negative,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
1056,"Customer Support has received reports from users experiencing frequent timeouts when accessing the project management dashboard, likely due to recent spikes in database load. Server restarts and cache clears have not resolved the issue. The problem began after the latest update and affects multiple user accounts. Attempts to troubleshoot by optimizing database queries have been unsuccessful. We would appreciate it if you could urgently examine this matter and suggest a solution or workaround to fix the timeouts.",Technical Support,Incident,high,account|network|performance|software,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1062,"Customer Support is encountering sporadic delays in processing investment datasets on the data analytics platform. The issue likely began after the recent software update, which may have introduced conflicts. Troubleshooting steps such as rebooting the system and clearing the cache have not resolved the delays. We would appreciate it if you could investigate the matter and provide a solution as soon as possible. Please let me know if you require any additional information. Thank you for your assistance.",Technical Support,Incident,medium,bug|feature|performance|software,not_present,not_present,negative,not_present,neutral,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1083,"Customer Support, Incident Report: Several outages affecting products and services are disrupting digital marketing activities. The probable cause appears to be configuration errors within the system or network disruptions. Our troubleshooting efforts have involved restarting systems and conducting initial diagnostics, but the problem remains unresolved. Currently, digital marketing operations are hindered due to these outages. Our team has performed preliminary diagnostics and system restarts; however, the issue persists. We believe that further investigation is necessary.",Service Outages and Maintenance,Incident,high,bug|network|performance,not_present,not_present,negative,not_present,not_present,not_present,negative,not_present,negative,llm-qwen3-4b-4bit,
1113,"The digital strategies implemented by the marketing agency are not yielding the desired results, leading to a halt in brand development. Potential reasons may include misalignment in campaign targeting or issues with tool integration. While optimizing ad content and reallocating budgets resulted in notable improvements, a detailed analysis is necessary to pinpoint the root cause and develop effective solutions.",Product Support,Problem,medium,feature,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
1127,"Customer Support, reporting an issue with the financial firm's investment forecasts. We observed that the predictions are incorrect and suspect this may be due to faulty data integration. Our team attempted to recalibrate the algorithms and data sources, but the problem persists. We are concerned that this could impact investment decisions and would like to request assistance in resolving the issue. Could you please review and suggest potential solutions or improvements? Thank you for your prompt attention to this matter; we look forward to your response.",Customer Service,Problem,low,performance|security,not_present,not_present,not_present,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1154,"The digital tools used by the marketing agency are not functioning properly, which is hindering efforts to grow the brand. Potential reasons might be conflicts between software or hardware problems. Attempts to fix the issue by restarting devices and updating software have not been successful. We would be grateful for prompt assistance to resolve this matter.",Technical Support,Incident,medium,bug|hardware|performance|software,not_present,not_present,negative,not_present,negative,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
1177,The security of medical data at the healthcare provider has been compromised due to potential vulnerabilities in the system. The issue is likely related to outdated software and inadequate access controls. Efforts to update the software and review access logs have had limited success.,Human Resources,Problem,low,account|security|software,not_present,not_present,not_present,negative,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1205,"Reporting a significant incident involving one healthcare provider. They suddenly lost access to their medical data systems, which may have led to unauthorized system access or failure. The initial response involved activating emergency protocols and attempting to restore data from backups. Nevertheless, immediate help is needed to resolve the problem promptly. The healthcare provider is currently unable to retrieve vital patient information, which hampers their ability to deliver medical care.",Service Outages and Maintenance,Incident,high,account|hardware|performance|security,not_present,not_present,negative,negative,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1208,"Dear Customer Support, I am reporting an issue with the financial firm's investment optimization tool. The software crashes during data processing, likely due to a recent update. I attempted to resolve this by rebooting the system and reverting to an earlier version, but these efforts were unsuccessful. The tool functions correctly after updates; however, recent system changes may have caused the problem. I would greatly appreciate it if you could investigate this matter and provide a solution at your earliest convenience.",Technical Support,Incident,high,account|bug|performance|software,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1209,"I am seeking detailed insights into data analytics tools and techniques that can optimize investment strategies for financial firms. Could you please share comprehensive information on the solutions you offer, including specific examples of successful implementations and relevant case studies? This would help in gaining a clearer understanding of how these solutions can benefit our organization.",Customer Service,Request,high,feature,not_present,not_present,not_present,not_present,not_present,neutral,not_present,not_present,neutral,llm-qwen3-4b-4bit,
1301,"The healthcare provider encountered interruptions in data access impacting several device software, potentially due to network configuration issues.",Customer Service,Incident,high,network|performance|security,not_present,not_present,negative,not_present,not_present,not_present,negative,negative,negative,llm-qwen3-4b-4bit,
1319,Customer service inquiry regarding best practices for integrating a SaaS project management solution into the current infrastructure. Could you offer guidance to facilitate a smooth integration? Our goal is to optimize workflows and enhance efficiency. We would appreciate any advice or suggestions you can provide. Thank you for your assistance.,IT Support,Request,medium,feature,not_present,not_present,not_present,not_present,not_present,neutral,neutral,not_present,neutral,llm-qwen3-4b-4bit,
1347,Users have reported recurring software crashes on several device platforms. Recent updates might be causing compatibility issues. Initial attempts to resolve the problem through rollback procedures and system reboots have not been successful. These issues are affecting the consistency of productivity workflows. Assistance is required to resolve the problem and prevent further disruptions.,IT Support,Incident,medium,feature|performance|software,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1382,"Campaigns are operational, server status is normal, but assistance is required to resolve the issues",IT Support,Problem,high,hardware|network|performance,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
1387,"Reporting performance problems with the marketing agency's digital strategy tools, such as Maple and Figma. Despite efforts like system restarts, software updates, and hardware connection checks, the problem continues, hindering brand growth initiatives. The possible cause might be software conflicts or hardware compatibility issues affecting multiple products used in campaigns. Your assistance in investigating this matter and providing a solution promptly would be highly appreciated to help restore workflow.",Technical Support,Incident,high,bug|hardware|performance|software,not_present,not_present,negative,not_present,not_present,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
1418,"Dear Customer Support, I am reaching out to inquire about the security measures implemented by your company to safeguard the medical data infrastructure used by healthcare providers. It is essential for us to ensure that patients' sensitive information remains protected from unauthorized access and data breaches. Could you please provide details about your security protocols, including encryption techniques, access control mechanisms, and backup procedures? Additionally, I would like to know which compliance certifications your company holds, such as HIPAA and ISO standards.",Sales and Pre-Sales,Request,low,account|network|security,not_present,not_present,not_present,neutral,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
1419,"Dear Customer Support, I am reaching out to request assistance with integrating Node.js 14.17 into our project. We are currently using Node.js 12.22 and wish to upgrade to the latest version to leverage new features and security updates. However, we are uncertain about the best approach to incorporate this update into our GitHub repository to ensure smooth deployment. Could you please provide detailed, step-by-step instructions? We would also appreciate any recommendations for project management SaaS that supports Node.js 14.17 and insights into potential challenges during the upgrade process. Looking forward to your guidance.",Technical Support,Request,high,feature|security,not_present,not_present,not_present,not_present,not_present,neutral,not_present,not_present,neutral,llm-qwen3-4b-4bit,
1461,"Dear Customer Support, I am reporting an issue with accessing medical data that our healthcare provider is experiencing. The problem began after a recent software update. Despite our team's efforts to resolve it, the issue persists. We have restarted the affected systems, but this did not resolve the problem. Our troubleshooting attempts have so far been unsuccessful in identifying the root cause. We are concerned that the issue may be linked to the recent software update and would appreciate your assistance in resolving it promptly.",Returns and Exchanges,Incident,low,account|performance|security,not_present,not_present,not_present,negative,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1532,Could you kindly supply comprehensive details regarding the pricing plans for SaaS scalability features?,Customer Service,Request,low,billing|feature|performance,neutral,not_present,not_present,not_present,not_present,neutral,not_present,not_present,not_present,llm-qwen3-4b-4bit,
1624,"Customer support is preparing a report regarding a critical issue impacting healthcare services. The healthcare provider has encountered multiple system outages affecting essential tools used to safeguard medical information within the hospital's infrastructure. The potential cause appears to be a ransomware attack exploiting outdated software versions. Initial mitigation efforts included rebooting systems and applying patches, which led to partial recovery; however, system stability remains compromised. There is concern about the security of medical data and the overall hospital infrastructure. We request your assistance.",Service Outages and Maintenance,Incident,high,account|performance|security,not_present,not_present,negative,negative,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1679,"Dear Customer Support, I am reporting an incident involving platform downtime. The platform experienced an unexpected outage that impacted several integrations. The potential cause might be related to a recent update that possibly caused system conflicts. Our team attempted to resolve the issue by restarting services and rolling back the update, but unfortunately, these actions did not resolve the problem. We seek guidance on the next steps to troubleshoot and resolve this issue. Could you please provide us with additional information or procedures to address this problem? Thank you.",Technical Support,Incident,high,account|performance,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1772,"Customer support is documenting an incident involving a healthcare provider that faced security breaches, risking exposure of sensitive medical information and causing hospital disruptions. The problem might be linked to outdated antivirus software. Efforts such as firmware updates, antivirus scans, and device restarts have been attempted, but the issue remains unresolved. We require assistance to address and resolve this matter. Kindly help us identify a solution to prevent future breaches and safeguard medical data.",Technical Support,Problem,high,performance|security,not_present,not_present,negative,negative,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1828,"A financial organization focused on investment data analytics encountered integration challenges across various products, potentially due to incompatible firmware upgrades. The problem started following recent system updates, possibly caused by conflicting software versions. So far, attempts to resolve the issue through system resets and firmware compatibility checks have been unsuccessful. The team is having difficulty resolving the problem and urgently needs assistance to prevent possible losses. We would appreciate any guidance or support.",Product Support,Incident,medium,account|bug|performance|software,not_present,not_present,not_present,not_present,not_present,not_present,not_present,negative,negative,llm-qwen3-4b-4bit,
1832,"Customer Support, I am submitting a report regarding a technical problem with the digital tools used by our marketing agency. The software has malfunctioned, leading to considerable disruptions in our workflow. Despite efforts to troubleshoot by restarting applications and updating the software, the issue remains unresolved. It appears to be caused by software conflicts across several devices. Our team relies heavily on these tools for campaign management, and the disruptions are affecting our productivity and efficiency. We would be grateful for your assistance in resolving this issue.",Technical Support,Incident,high,performance|software,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
1950,"Requesting an update on digital marketing tactics aimed at boosting brand expansion within Gaming, Smart Home, and Software sectors. While existing strategies are delivering some results, it seems prudent to reevaluate and modify our approach to remain competitive in the marketplace. I would appreciate it if you could suggest new strategies that we might adopt.",General Inquiry,Change,high,,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
1969,"Customer Support, I am reporting a security breach incident involving unauthorized access attempts to medical data. The healthcare provider's system experienced multiple intrusion attempts, possibly due to insufficient firewall configurations. To address this, we updated the firewall rules and enabled multi-factor authentication. Despite these efforts, the issue continues. I am worried about the potential repercussions of this breach and seek assistance in resolving the problem. Please advise on the next steps.",Technical Support,Problem,medium,account|performance|security,not_present,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,llm-qwen3-4b-4bit,
1983,"Customer support has documented that users are experiencing frequent timeouts during peak usage times. The issue appears to be related to insufficient server capacity. We have attempted to resolve this by restarting the server and implementing load balancing, but the problem persists. These timeouts are causing frustration and disrupting the user experience. We would appreciate it if you could urgently investigate this matter and provide a solution, such as increasing server capacity or optimizing resource distribution. Please let us know if you require any additional information.",Technical Support,Incident,high,account|performance,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
2011,"Users have been experiencing sporadic failures when trying to log into the project management SaaS platform. This may be related to the recent update to Redis 6.2 cache. Although the Redis service was restarted and the cache was cleared, the problem continues. We need assistance in resolving this issue.",Human Resources,Incident,low,account|performance|security,not_present,not_present,negative,not_present,negative,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
2039,"The digital marketing efforts managed by the agency have not achieved the anticipated results. Initial diagnostics involved verifying software compatibility and resetting campaign settings; however, the problems continue.",Customer Service,Incident,low,bug|feature|software,not_present,not_present,negative,not_present,not_present,not_present,not_present,not_present,negative,llm-qwen3-4b-4bit,
